Dataset-Quantity-metrics,Anomaly Transformer,AE,DAGMM,DCdetector,DLinear,DeepPoint,DualTF,Isolation Forest,LSTM,ModernTCN,NLinear,PatchTST,TimesNet,TranAD,VAE,HBOS,iTransformer,KNN,LODA,LOF,OCSVM,PCA,GPT4TS,Moment,Timer,TTM,UniTS,UniTime
Application Server/ASD-96-Acc,0.94222608,0.946084105,0.932600309,0.926813272,0.946682099,0.876157407,0.850868056,0.95304784,0.951793981,0.911535494,0.912384259,0.941763117,0.952623457,0.898244599,0.951003086,0.870119599,0.897897377,0.768422068,0.879552469,0.729320988,0.871141975,0.862962963,0.926331019,0.898244599,0.930131173,0.946296296,0.94056713,0.911323302
Application Server/ASD-96-Aff-F1,0.674267384,0.731319277,0.724319663,0.702409857,0.781864609,0.369870294,0.604541959,0.781190128,0.734191536,0.782238102,0.765769601,0.777273168,0.807945481,0.770162899,0.596645297,0.668555065,0.780292817,0.746628387,0.700416627,0.725170094,0.617322273,0.656469694,0.775740856,0.757112459,0.771802889,0.780240623,0.770798407,0.780331536
Application Server/ASD-96-Aff-P,0.552989844,0.600393741,0.589341843,0.568483824,0.690120511,0.932694656,0.55079462,0.760833184,0.705721223,0.668701794,0.650108709,0.661614966,0.736116699,0.676886095,0.617744427,0.537546938,0.660065247,0.598768708,0.55609331,0.572853745,0.50498716,0.532311934,0.657028978,0.642070415,0.667170886,0.673511354,0.656766804,0.657278833
Application Server/ASD-96-Aff-R,0.869618592,0.942046645,0.946191803,0.921960082,0.91809932,0.314812515,0.759841134,0.842403584,0.82472842,0.953970631,0.943655417,0.954166415,0.907211492,0.922111015,0.648485744,0.891261448,0.968606519,0.996827022,0.953847785,0.994633647,0.809655199,0.870959827,0.958621232,0.945146023,0.924352168,0.940271541,0.943927371,0.975603886
Application Server/ASD-96-F1,0.030628007,0.128709894,0.124242647,0.046276957,0.16340552,0.040867128,0.108752543,0.107823629,0.121319941,0.152132478,0.146488292,0.177465502,0.203423783,0.155036806,0.060468178,0.131488923,0.184399758,0.211778044,0.15949219,0.188462173,0.084876241,0.124853401,0.181480734,0.130012346,0.170520217,0.167258594,0.13813145,0.20434314
Application Server/ASD-96-P,0.07635315,0.22209136,0.164800994,0.065752206,0.300818423,0.845230436,0.113787536,0.454762202,0.483947983,0.219781098,0.207313356,0.26139735,0.440114771,0.276382872,0.356154023,0.099639728,0.230085369,0.134203421,0.118250913,0.117364482,0.062546624,0.08805419,0.242484426,0.184470726,0.274309669,0.299226253,0.244519266,0.269880947
Application Server/ASD-96-R,0.02227909,0.101341323,0.123351185,0.044634411,0.134658363,0.114406698,0.184603621,0.063038426,0.075225643,0.19770569,0.177278772,0.147299672,0.167028253,0.210320103,0.036522772,0.242438462,0.252528866,0.663070413,0.300733293,0.654624959,0.160293124,0.264552128,0.218860841,0.185970738,0.198159943,0.125076352,0.115251521,0.248386261
Application Server/ASD-96-R-A-P,0.08242403,0.208242717,0.258346063,0.09017649,0.191271934,0.214742595,0.103362881,0.196677886,0.233830448,0.170385579,0.139473434,0.202342697,0.254486993,0.138383397,0.128730537,0.131664621,0.196981909,0.373577356,0.156921497,0.323846658,0.102380402,0.15426979,0.189541454,0.116250614,0.126316357,0.167425964,0.151406862,0.208009566
Application Server/ASD-96-R-A-R,0.508249327,0.753153055,0.72134629,0.515215017,0.792906785,0.685886708,0.623852795,0.694490088,0.703935666,0.74619327,0.740775301,0.813094698,0.835263326,0.649991528,0.62138869,0.623811508,0.811530385,0.852491714,0.67013987,0.837230936,0.612432648,0.681854556,0.785064557,0.668273625,0.650348237,0.708276943,0.726053138,0.813387117
Application Server/ASD-96-R-F1,0.083804864,0.185364644,0.166337234,0.080664203,0.206846899,0.079476391,0.098761488,0.266310714,0.225924008,0.179606865,0.179204546,0.185206689,0.250827742,0.210774928,0.139072954,0.111309802,0.176086754,0.090677084,0.133779081,0.084988726,0.102083861,0.146306496,0.18771205,0.159673001,0.192243328,0.208379505,0.195294917,0.187162833
Application Server/ASD-96-R-P,0.081397723,0.22209136,0.164800994,0.066806552,0.232278501,0.84232853,0.164733594,0.454762202,0.483947983,0.171674917,0.181390904,0.181956102,0.318924324,0.253589178,0.356154023,0.084300686,0.165315305,0.053176359,0.100907614,0.051247989,0.086683336,0.106212123,0.172284399,0.158577688,0.198408879,0.222109894,0.200751587,0.172586075
Application Server/ASD-96-R-R,0.096714051,0.173650849,0.184733855,0.117153125,0.231597795,0.13971061,0.145638001,0.196237345,0.173948739,0.266398318,0.215073715,0.264801928,0.23615377,0.268169502,0.109432077,0.217068517,0.290987734,0.57172823,0.299383081,0.545168624,0.165570365,0.312209156,0.286319884,0.231509809,0.2505287,0.236362941,0.239635851,0.318791359
Application Server/ASD-96-V-PR,0.080190435,0.208073296,0.255248872,0.090486266,0.187787749,0.215683656,0.103085222,0.196977931,0.232395962,0.169595811,0.138877587,0.199552517,0.253099088,0.138064701,0.128171044,0.129777428,0.193770862,0.372712962,0.154874477,0.321037869,0.103426144,0.149327734,0.186656379,0.116526988,0.126134673,0.166738913,0.150677066,0.204257149
Application Server/ASD-96-V-ROC,0.507403714,0.745138896,0.71475319,0.515603469,0.784467729,0.677328516,0.610899782,0.685027256,0.700116782,0.738998015,0.734973533,0.805555401,0.831313105,0.644953455,0.616546956,0.619175147,0.804425833,0.846418932,0.664253145,0.828654614,0.608434964,0.673791387,0.775989405,0.662818316,0.646118793,0.703077383,0.719369799,0.805241842
Application Server/Exathlon-96-A-P,0.111978758,0.826980259,0.289198703,0.111633646,0.734591144,0.811997228,0.378654595,0.871303739,0.807476921,0.740455786,0.733808739,0.738906148,0.729386018,0.838758064,0.65361944,0.685151853,0.752403346,0.143775855,0.314171587,0.067960151,0.104551501,0.709007628,0.736195464,0.711663291,0.68870517,0.710961265,0.742522145,0.711768326
Application Server/Exathlon-96-A-R,0.502750258,0.914227824,0.574110357,0.528363997,0.902000168,0.962154928,0.624537842,0.96351466,0.914811523,0.906221676,0.903146453,0.904475235,0.904458842,0.916974501,0.665429085,0.823059091,0.908377392,0.287082664,0.461751542,0.17717112,0.5,0.721110549,0.900335669,0.905152948,0.905613017,0.900178618,0.906093855,0.900350059
Application Server/Exathlon-96-Acc,0.892118047,0.819733589,0.395028712,0.839605593,0.93769219,0.64545361,0.604717619,0.906691436,0.820021564,0.946677554,0.944551345,0.943004995,0.948171755,0.953201717,0.87108971,0.701708758,0.948530971,0.198485577,0.547569762,0.214776681,0.104551501,0.671808782,0.94772511,0.934211424,0.918931126,0.942549933,0.94711694,0.925647407
Application Server/Exathlon-96-Aff-F1,0.813784741,0.882614615,0.711407593,0.70614995,0.90474254,0.225005061,0.578101523,0.975429255,0.879174774,0.909757009,0.901846947,0.906850079,0.900485212,0.918494307,0.885536681,0.812476784,0.901430479,0.674623446,0.696849202,0.658358854,0.673639575,0.863631487,0.905731149,0.9157474,0.911807265,0.907754168,0.910747619,0.905771225
Application Server/Exathlon-96-Aff-P,0.700985458,0.819257216,0.55986241,0.553211063,0.94106106,0.169858538,0.533636181,0.95425276,0.812670962,0.949183082,0.932290139,0.941834002,0.929802181,0.967827005,0.886767448,0.703090789,0.937738765,0.509211407,0.568925887,0.491626776,0.50789644,0.783833799,0.939789907,0.966515658,0.957764191,0.943597529,0.951306633,0.941798817
Application Server/Exathlon-96-Aff-R,0.995705462,0.999382448,0.987765135,0.976736007,0.886578463,0.333375835,0.652663886,0.997868304,0.999430611,0.886922265,0.886890892,0.886873368,0.887030275,0.885721853,0.884421667,0.999919498,0.88677105,0.999957771,0.973257712,0.999618233,1,0.999873265,0.886855653,0.887061255,0.886369926,0.886656552,0.886924218,0.887228007
Application Server/Exathlon-96-F1,0.021668299,0.224500835,0.156051482,0.064314167,0.555126627,0.073941439,0.028497921,0.172628882,0.241968088,0.656689635,0.63925414,0.614840036,0.674021392,0.733986971,0.256845969,0.455706202,0.657467682,0.167385738,0.202534255,0.120866266,0.187987213,0.616121846,0.655215988,0.516910085,0.416372736,0.615730308,0.659819197,0.469888369
Application Server/Exathlon-96-P,0.45260298,0.682079952,0.13840731,0.138979139,0.926840079,0.041582752,0.387770225,0.91506236,0.672517523,0.888040324,0.879950888,0.902753808,0.882905239,0.94276386,0.698912917,0.415904571,0.909702428,0.093775694,0.339622252,0.068091598,0.104551501,0.547227365,0.903189728,0.883159132,0.822162212,0.881379621,0.890379237,0.89908896
Application Server/Exathlon-96-R,0.011381334,0.206486064,0.670651184,0.089727344,0.45763321,0.333333333,0.014792538,0.108775252,0.223061966,0.548498638,0.528686244,0.50826683,0.607899055,0.601200379,0.174420817,0.711228834,0.568740081,0.787913354,0.416526166,0.538523045,1,0.954138571,0.544528081,0.447254164,0.296867324,0.513834965,0.551870191,0.325240718
Application Server/Exathlon-96-R-A-P,0.198330151,0.739042171,0.626571764,0.202517684,0.645795304,0.716184559,0.358776272,0.751281163,0.701277197,0.677765227,0.66667764,0.671920295,0.667061045,0.750154252,0.611920093,0.670780441,0.668820963,0.236082953,0.310948935,0.140352478,0.595436732,0.717417407,0.645954173,0.760429728,0.775742651,0.670217018,0.680016559,0.669770721
Application Server/Exathlon-96-R-A-R,0.530714427,0.867007876,0.665414069,0.614127604,0.854111788,0.914697913,0.594592704,0.914965465,0.856952589,0.862869968,0.860476844,0.861752584,0.863821721,0.88466883,0.658754559,0.874943096,0.862700097,0.468483839,0.496737185,0.397163876,0.525721221,0.80676032,0.85156566,0.89392013,0.898321449,0.859991558,0.862966404,0.873997881
Application Server/Exathlon-96-R-F1,0.249112902,0.272541842,0.085210366,0.159657933,0.288411841,0.021487851,0.208198842,0.328885161,0.271935666,0.28914608,0.287800963,0.288650307,0.282965373,0.290847404,0.263139124,0.171153028,0.283198342,0.189588387,0.409694695,0.175698666,0.04968884,0.232628204,0.288845682,0.281753847,0.296481212,0.290998461,0.290594584,0.294250282
Application Server/Exathlon-96-R-P,0.447142109,0.682079952,0.073417485,0.135587877,0.807791758,0.011101755,0.496487867,0.91506236,0.672517523,0.786065466,0.766318014,0.784892235,0.71785519,0.933997443,0.698912917,0.294847705,0.748215436,0.394618809,0.54764079,0.369464514,0.025616826,0.208369402,0.791082174,0.731649774,0.879586637,0.821830604,0.80728525,0.861216104
Application Server/Exathlon-96-R-R,0.200599959,0.200578436,0.711291105,0.200640409,0.179561873,0.333333333,0.134478867,0.200578436,0.200578436,0.180166209,0.179576447,0.179691915,0.180892378,0.17395268,0.178310259,0.453170477,0.180397063,0.471706424,0.442309122,0.468629062,1,0.902860655,0.18024237,0.179530097,0.179866938,0.180016871,0.180476356,0.17887033
Application Server/Exathlon-96-V-PR,0.198851236,0.741480646,0.614455034,0.201747082,0.652260442,0.726557559,0.364231835,0.763594786,0.705506475,0.681368246,0.671976408,0.676492694,0.671348244,0.751596942,0.610808154,0.671330206,0.676125333,0.229527721,0.319681826,0.139596747,0.595237207,0.713028474,0.652486476,0.745348219,0.759313156,0.674892966,0.683525587,0.669523327
Application Server/Exathlon-96-V-ROC,0.531029868,0.868604783,0.652075709,0.606401452,0.855878384,0.918607074,0.599176338,0.919589922,0.859278653,0.863282888,0.861894398,0.862779574,0.864613441,0.882658794,0.657300658,0.866430884,0.864432333,0.449558863,0.507295791,0.382119939,0.526096622,0.796111153,0.853232967,0.889460473,0.894176196,0.860797255,0.863319892,0.872219585
Finance/Creditcard-96-A-P,0.006545122,0.040383503,0.398279495,0.00161382,0.080557272,0.04246776,0.023357146,0.073635373,0.122057616,0.088835548,0.086901222,0.088852799,0.090241925,0.107018925,0.119841781,0.172549232,0.041763372,0.056126992,0.09564149,0.00325861,0.052710497,0.028885973,0.080246645,0.088951538,0.095669057,0.095649731,0.09037941,0.081556254
Finance/Creditcard-96-A-R,0.552209378,0.90861727,0.934943784,0.503976016,0.954331533,0.858854798,0.703486221,0.85953851,0.959279341,0.957983639,0.948336774,0.956641842,0.959275493,0.95404793,0.958630449,0.951083573,0.934040306,0.961747931,0.834527205,0.537790963,0.952793198,0.870600548,0.956733306,0.956890167,0.958150072,0.957894414,0.957483928,0.954891042
Finance/Creditcard-96-Acc,0.847251482,0.994354091,0.975541417,0.716328193,0.980604477,0.002942333,0.687852869,0.996488863,0.991699671,0.980794079,0.980478076,0.980499143,0.9806747,0.980330609,0.99188225,0.847497261,0.951061768,0.815440578,0.861619056,0.391463723,0.893022668,0.867517766,0.980667678,0.970380046,0.970815427,0.971019072,0.980716834,0.980506166
Finance/Creditcard-96-Aff-F1,0.650111113,0.561231088,0.74634795,0.632349864,0.738403895,0.669961446,0.662792869,0.6341511,0.709347061,0.748080937,0.742124491,0.746074816,0.743582145,0.753354484,0.703724602,0.695230866,0.712732491,0.696160405,0.678769202,0.661053277,0.714006577,0.710333138,0.737816188,0.746397793,0.751036105,0.748926742,0.74672123,0.731015237
Finance/Creditcard-96-Aff-P,0.52077474,0.560452097,0.616021985,0.487878111,0.604510684,0.503715808,0.513434856,0.657587092,0.627169859,0.615371491,0.607906611,0.611966345,0.609715373,0.618957625,0.623168628,0.533095504,0.55856195,0.534121546,0.516617529,0.497283972,0.556245842,0.564231758,0.603893784,0.600258622,0.605625333,0.603115831,0.615695599,0.600957844
Finance/Creditcard-96-Aff-R,0.864916355,0.562012249,0.946614195,0.898380738,0.94848379,1,0.934695432,0.61232811,0.816306588,0.953768143,0.95240261,0.955457057,0.952768306,0.962303462,0.808199168,0.999095068,0.984455262,0.999332366,0.989274602,0.985657399,0.99668264,0.958534793,0.948063283,0.986594408,0.988335722,0.987720783,0.948589775,0.932913399
Finance/Creditcard-96-F1,0.002842211,0.069444444,0.080274624,0.002617155,0.104990279,0.003131341,0.005948521,0.201277955,0.147186147,0.108249103,0.106683805,0.107360977,0.107073329,0.110511273,0.147492625,0.018440678,0.051191287,0.016023961,0.016077492,0.002922496,0.0257099,0.016986244,0.107038599,0.080645161,0.082965578,0.083092646,0.106701366,0.103359173
Finance/Creditcard-96-P,0.001435783,0.046801872,0.042648709,0.001315822,0.056584003,0.001568126,0.002989167,0.156327543,0.087704213,0.058368495,0.057459328,0.057825485,0.057712487,0.059466849,0.088261253,0.009314218,0.026397079,0.008079435,0.00812926,0.001465007,0.013040939,0.008592967,0.057692308,0.042382589,0.043629612,0.043712015,0.057523676,0.055690915
Finance/Creditcard-96-R,0.139013453,0.134529148,0.68161435,0.237668161,0.726457399,1,0.596412556,0.282511211,0.457399103,0.744394619,0.744394619,0.748878924,0.739910314,0.780269058,0.448430493,0.914798206,0.843049327,0.959641256,0.721973094,0.569506726,0.901345291,0.730941704,0.739910314,0.829596413,0.843049327,0.838565022,0.735426009,0.717488789
Finance/Creditcard-96-R-A-P,0.001855583,0.020427011,0.474383878,0.00179831,0.052538922,0.027800394,0.009498596,0.040406594,0.059073835,0.054404153,0.05312748,0.053556949,0.05357658,0.059080112,0.057516974,0.081463536,0.023870604,0.041926125,0.024767769,0.002163649,0.038376494,0.009167121,0.053661726,0.054145682,0.055082315,0.053786035,0.054613736,0.046794509
Finance/Creditcard-96-R-A-R,0.379036147,0.842796639,0.871523189,0.483014042,0.914049619,0.810458727,0.535492193,0.809043725,0.922987877,0.920904498,0.901682868,0.918054343,0.923589908,0.912237157,0.921523062,0.904495252,0.88247545,0.931046951,0.698563189,0.325153008,0.914331528,0.783946945,0.918797435,0.918931138,0.921230144,0.92080273,0.919812014,0.916092651
Finance/Creditcard-96-R-F1,0.006575325,0.069545936,0.080451008,0.00337209,0.09189993,0.001131113,0.003941728,0.203514312,0.147316815,0.098650616,0.09727977,0.096489509,0.095502061,0.102640372,0.147584301,0.016863768,0.04657883,0.014420879,0.013609206,0.003053025,0.023450059,0.014987995,0.093813699,0.074652927,0.077009752,0.0770108,0.097405267,0.090829747
Finance/Creditcard-96-R-P,0.003361335,0.046801872,0.042648709,0.001698307,0.049173325,0.000565877,0.001977778,0.156327543,0.087704213,0.052949798,0.052160749,0.051681553,0.051164776,0.055037648,0.088261253,0.008511018,0.023963081,0.007265243,0.006871779,0.001530654,0.011881176,0.007574074,0.050196802,0.039120985,0.040381791,0.040394089,0.052285192,0.048594312
Finance/Creditcard-96-R-R,0.15,0.135294118,0.707973856,0.233529412,0.700980392,1,0.56372549,0.291503268,0.459934641,0.720588235,0.720588235,0.725490196,0.715686275,0.759803922,0.450130719,0.906862745,0.828431373,0.955882353,0.696078431,0.564248366,0.892156863,0.708823529,0.715686275,0.81372549,0.828431373,0.823529412,0.710784314,0.694117647
Finance/Creditcard-96-V-PR,0.002155859,0.020018326,0.436073587,0.002251116,0.050447769,0.027044852,0.010727003,0.038765292,0.055438078,0.051594856,0.050541234,0.051113464,0.050875049,0.05572541,0.054184522,0.076296151,0.023971232,0.040016322,0.024243683,0.002519279,0.036621509,0.011539026,0.05145851,0.051212103,0.05182661,0.050625847,0.051658898,0.044844083
Finance/Creditcard-96-V-ROC,0.39765,0.840327168,0.870923891,0.483426465,0.90779405,0.818945871,0.575368196,0.818278515,0.909392152,0.911413277,0.897402141,0.910929713,0.915794358,0.908127962,0.913012562,0.896011447,0.880731573,0.920492373,0.724508929,0.383742307,0.904999243,0.805022037,0.91161105,0.910696573,0.908804348,0.908788983,0.90986883,0.90708219
Machinery/Genesis-96-A-P,0.057994509,0.055065161,0.055952391,0.009576856,0.017148726,0.006115565,0.050912743,0.004874996,0.007395576,0.013687197,0.010663078,0.012890074,0.035711451,0.043150087,0.007553705,0.059026501,0.019354806,0.888061017,0.005565271,0.727210297,0.007390983,0.011081473,0.013393358,0.004522257,0.00443572,0.011109099,0.015503137,0.005899972
Machinery/Genesis-96-A-R,0.947240172,0.930716218,0.956143562,0.658693299,0.69589209,0.553647939,0.937007799,0.548530161,0.703832564,0.695290466,0.754996021,0.684598122,0.913025625,0.904973739,0.680966099,0.896695846,0.690093904,0.998807894,0.639390419,0.99645074,0.732810759,0.814991246,0.730819672,0.359051409,0.413511062,0.682310998,0.658799936,0.390934267
Machinery/Genesis-96-Acc,0.931277743,0.98692137,0.97653773,0.991360178,0.987000634,0.034717819,0.969879518,0.98279962,0.994134432,0.965678503,0.972336715,0.987079899,0.990963855,0.991994293,0.993896639,0.771242866,0.986445783,0.882847178,0.887603044,0.86873811,0.424461002,0.888474952,0.944673431,0.968373494,0.941899176,0.93928345,0.98406785,0.969086874
Machinery/Genesis-96-Aff-F1,0.856297926,0.853651925,0.810966932,0.775577416,0.855507085,0.666220315,0.810110236,0.788288481,0.382040746,0.836144865,0.829099532,0.856082437,0.864067502,0.843054376,0.379323466,0.720840287,0.890931963,0.749475662,0.672623799,0.739616461,0.677077817,0.814085686,0.799829277,0.793844029,0.691584064,0.775335504,0.809022571,0.796770881
Machinery/Genesis-96-Aff-P,0.748742659,0.758854279,0.683343996,0.65875622,0.772180032,0.499498022,0.682702158,0.672941908,0.460007121,0.731667312,0.723628217,0.763400768,0.780422065,0.746706153,0.452206196,0.563531443,0.822491238,0.599329129,0.517266804,0.586818566,0.51180472,0.690779785,0.67875766,0.724327733,0.744951726,0.646627588,0.699614344,0.732461213
Machinery/Genesis-96-Aff-R,0.999936671,0.975515317,0.997207814,0.942763291,0.958993441,1,0.995983975,0.951357231,0.32667309,0.975430254,0.970562351,0.974378082,0.967795584,0.967949896,0.32667309,0.999984168,0.97179661,1,0.961360967,1,1,0.990977647,0.973469313,0.878120345,0.64535166,0.96801368,0.958993441,0.873460174
Machinery/Genesis-96-F1,0.099688474,0.06779661,0.080745342,0.018018018,0.078651685,0.008144649,0.11627907,0.00913242,,0.031319911,0.022408964,0.109289617,0.149253731,0.151260504,,0.032841823,0.095238095,0.063371356,0.001408451,0.056947608,0.013585111,0.032989691,0.030555556,0.014814815,0.01345895,0.025445293,0.065116279,0.015151515
Machinery/Genesis-96-P,0.052573932,0.047244094,0.047794118,0.016393443,0.0546875,0.004088976,0.065789474,0.00591716,,0.017632242,0.013029316,0.07518797,0.119047619,0.130434783,,0.01670075,0.064748201,0.032722513,0.000729927,0.029308324,0.00683901,0.017081851,0.01641791,0.008450704,0.007215007,0.013586957,0.042424242,0.00867052
Machinery/Genesis-96-R,0.96,0.12,0.26,0.02,0.14,1,0.5,0.02,,0.14,0.08,0.2,0.2,0.18,,0.98,0.18,1,0.02,1,1,0.48,0.22,0.06,0.1,0.2,0.14,0.06
Machinery/Genesis-96-R-A-P,0.10127175,0.046503026,0.09891567,0.012401609,0.016295112,0.012698156,0.100542914,0.011247555,0.009063559,0.01407681,0.01343388,0.013203747,0.037890063,0.037922346,0.009481424,0.089937074,0.021232482,0.6381374,0.010791644,0.574730839,0.505976802,0.015173698,0.018278408,0.005191392,0.005339586,0.010874776,0.014401586,0.005714319
Machinery/Genesis-96-R-A-R,0.976124646,0.917053585,0.936389593,0.743668798,0.740990794,0.69992489,0.975173095,0.693268292,0.722602653,0.746207702,0.791271245,0.737490009,0.918988854,0.900112446,0.717196796,0.819448511,0.797246743,0.971915081,0.730436872,0.973661675,0.733638274,0.821565341,0.807874522,0.19542593,0.231590004,0.718150151,0.709560537,0.209835151
Machinery/Genesis-96-R-F1,0.010481625,0.083410008,0.073138891,0.027139875,0.088664293,5.20E-05,0.057715125,0.010989011,,0.034782203,0.024336361,0.113656691,0.121860256,0.160665426,,0.004859175,0.10218937,0.003420259,0.002504093,0.003679435,0.005039314,0.063495032,0.01703371,0.017748197,0.021168891,0.067430742,0.070862528,0.017669796
